Abbreviation,Atomic_Number,atomic_mass,atomic_radius,Density,ElectronAffinity,FusionHeat,ThermalConductivity,Valence
H,1,1.008 unified atomic mass units,53. picometers,0.0899 kilograms per meter cubed,72.8 kilojoules per mole,0.558 kilojoules per mole,0.1805 watts per meter kelvin difference,1
He,2,4.002602 unified atomic mass units,31. picometers,0.1785 kilograms per meter cubed,0. kilojoules per mole,0.02 kilojoules per mole,0.1513 watts per meter kelvin difference,0
Li,3,6.94 unified atomic mass units,167. picometers,535. kilograms per meter cubed,59.6 kilojoules per mole,3.0 kilojoules per mole,85. watts per meter kelvin difference,1
Be,4,9.0121831 unified atomic mass units,112. picometers,1848. kilograms per meter cubed,0. kilojoules per mole,7.95 kilojoules per mole,190. watts per meter kelvin difference,2
B,5,10.81 unified atomic mass units,87. picometers,2460. kilograms per meter cubed,26.7 kilojoules per mole,50. kilojoules per mole,27. watts per meter kelvin difference,3
C,6,12.011 unified atomic mass units,67. picometers,2260. kilograms per meter cubed,153.9 kilojoules per mole,105. kilojoules per mole,140. watts per meter kelvin difference,4
N,7,14.007 unified atomic mass units,56. picometers,1.251 kilograms per meter cubed,7. kilojoules per mole,0.36 kilojoules per mole,0.02583 watts per meter kelvin difference,3
O,8,15.999 unified atomic mass units,48. picometers,1.429 kilograms per meter cubed,141. kilojoules per mole,0.222 kilojoules per mole,0.02658 watts per meter kelvin difference,2
F,9,18.998403163 unified atomic mass units,42. picometers,1.696 kilograms per meter cubed,328. kilojoules per mole,0.26 kilojoules per mole,0.0277 watts per meter kelvin difference,1
Ne,10,20.1797 unified atomic mass units,38. picometers,0.900 kilograms per meter cubed,0. kilojoules per mole,0.34 kilojoules per mole,0.0491 watts per meter kelvin difference,0
Na,11,22.98976928 unified atomic mass units,190. picometers,968. kilograms per meter cubed,52.8 kilojoules per mole,2.60 kilojoules per mole,140. watts per meter kelvin difference,1
Mg,12,24.305 unified atomic mass units,145. picometers,1738. kilograms per meter cubed,0. kilojoules per mole,8.7 kilojoules per mole,160. watts per meter kelvin difference,2
Al,13,26.9815385 unified atomic mass units,118. picometers,2.7 10  kilograms per meter cubed,42.5 kilojoules per mole,10.7 kilojoules per mole,235. watts per meter kelvin difference,3
Si,14,28.085 unified atomic mass units,111. picometers,2330. kilograms per meter cubed,133.6 kilojoules per mole,50.2 kilojoules per mole,150. watts per meter kelvin difference,4
P,15,30.973761998 unified atomic mass units,98. picometers,1823. kilograms per meter cubed,71. kilojoules per mole,0.64 kilojoules per mole,0.236 watts per meter kelvin difference,5
S,16,32.06 unified atomic mass units,87. picometers,1960. kilograms per meter cubed,2.0 10  kilojoules per mole,1.73 kilojoules per mole,0.205 watts per meter kelvin difference,6
Cl,17,35.45 unified atomic mass units,79. picometers,3.214 kilograms per meter cubed,349.0 kilojoules per mole,3.2 kilojoules per mole,0.0089 watts per meter kelvin difference,5
Ar,18,39.948 unified atomic mass units,71. picometers,1.784 kilograms per meter cubed,0. kilojoules per mole,1.18 kilojoules per mole,0.01772 watts per meter kelvin difference,0
K,19,39.0983 unified atomic mass units,243. picometers,856. kilograms per meter cubed,48.4 kilojoules per mole,2.33 kilojoules per mole,1.0 10  watts per meter kelvin difference,1
Ca,20,40.078 unified atomic mass units,194. picometers,1550. kilograms per meter cubed,2.37 kilojoules per mole,8.54 kilojoules per mole,2.0 10  watts per meter kelvin difference,2
Sc,21,44.955908 unified atomic mass units,184. picometers,2985. kilograms per meter cubed,18.1 kilojoules per mole,16. kilojoules per mole,16. watts per meter kelvin difference,3
Ti,22,47.867 unified atomic mass units,176. picometers,4507. kilograms per meter cubed,7.6 kilojoules per mole,18.7 kilojoules per mole,22. watts per meter kelvin difference,4
V,23,50.9415 unified atomic mass units,171. picometers,6110. kilograms per meter cubed,50.6 kilojoules per mole,22.8 kilojoules per mole,31. watts per meter kelvin difference,5
Cr,24,51.9961 unified atomic mass units,166. picometers,7190. kilograms per meter cubed,64.3 kilojoules per mole,20.5 kilojoules per mole,94. watts per meter kelvin difference,6
Mn,25,54.938044 unified atomic mass units,161. picometers,7470. kilograms per meter cubed,0. kilojoules per mole,13.2 kilojoules per mole,7.7 watts per meter kelvin difference,4
Fe,26,55.845 unified atomic mass units,156. picometers,7874. kilograms per meter cubed,15.7 kilojoules per mole,13.8 kilojoules per mole,79. watts per meter kelvin difference,3
Co,27,58.933194 unified atomic mass units,152. picometers,8.9 10  kilograms per meter cubed,63.7 kilojoules per mole,16.2 kilojoules per mole,1.0 10  watts per meter kelvin difference,4
Ni,28,58.6934 unified atomic mass units,149. picometers,8908. kilograms per meter cubed,112. kilojoules per mole,17.2 kilojoules per mole,91. watts per meter kelvin difference,2
Cu,29,63.546 unified atomic mass units,145. picometers,8960. kilograms per meter cubed,118.4 kilojoules per mole,13.1 kilojoules per mole,4.0 10  watts per meter kelvin difference,2
Zn,30,65.38 unified atomic mass units,142. picometers,7140. kilograms per meter cubed,0. kilojoules per mole,7.35 kilojoules per mole,120. watts per meter kelvin difference,2
Ga,31,69.723 unified atomic mass units,136. picometers,5904. kilograms per meter cubed,28.9 kilojoules per mole,5.59 kilojoules per mole,29. watts per meter kelvin difference,3
Ge,32,72.630 unified atomic mass units,125. picometers,5323. kilograms per meter cubed,119. kilojoules per mole,31.8 kilojoules per mole,60. watts per meter kelvin difference,4
As,33,74.921595 unified atomic mass units,114. picometers,5727. kilograms per meter cubed,78. kilojoules per mole,27.7 kilojoules per mole,50. watts per meter kelvin difference,5
Se,34,78.971 unified atomic mass units,103. picometers,4819. kilograms per meter cubed,195.0 kilojoules per mole,5.4 kilojoules per mole,0.52 watts per meter kelvin difference,6
Br,35,79.904 unified atomic mass units,94. picometers,3120. kilograms per meter cubed,324.6 kilojoules per mole,5.8 kilojoules per mole,0.12 watts per meter kelvin difference,5
Kr,36,83.798 unified atomic mass units,87. picometers,3.75 kilograms per meter cubed,0. kilojoules per mole,1.64 kilojoules per mole,0.00943 watts per meter kelvin difference,2
